ts_bucket,trigger_minute,timeframe,predicted_trend,truth_trend,direction_is_match,predicted_support,predicted_resistance,range_tolerance_pct,range_tolerance_abs,support_error_abs,resistance_error_abs,support_within_tolerance,resistance_within_tolerance,range_is_match,horizon_minutes,expected_bars,actual_bars,missing_bars,missing_start_time,truth_support,truth_resistance,path_state,start_open,end_close,max_high,min_low,close_return_bps,close_return_pct,max_up_bps,max_up_pct,max_down_bps,max_down_pct,up_breach_time,down_breach_time,complete_window
2026-03-17T13:15:00+00:00,15,15m,Sideways,Sideways,True,2311.72,2325.46,1.0,23.1791,3.150000000000091,3.4600000000000364,True,True,True,15,15,15,0,,2314.87,2322.0,no_material_break,2317.91,2319.48,2322.0,2314.87,6.773343227304274,0.06773343227304274,17.645206241829747,0.17645206241829747,-13.11526331911006,-0.1311526331911006,,,True
2026-03-17T13:15:00+00:00,15,4h,Sideways,Sideways,True,2308.22,2334.43,1.0,23.1791,5.2199999999998,22.230000000000018,True,True,True,240,240,240,0,,2303.0,2356.66,up_then_down,2317.91,2325.54,2356.66,2303.0,32.91758523842559,0.3291758523842559,167.1764650051122,1.6717646500511218,-64.325189502612,-0.64325189502612,2026-03-17T13:31:00+00:00,2026-03-17T15:36:00+00:00,True
2026-03-17T13:15:00+00:00,15,1d,Bullish,,False,2296.53,2377.0,1.0,,,,False,False,False,1440,1440,818,622,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T13:45:00+00:00,45,15m,Sideways,Bearish,False,2320.0,2345.0,1.0,23.313299999999998,5.0300000000002,11.86999999999989,True,True,True,15,15,15,0,,2314.97,2333.13,down_only,2331.33,2327.6,2333.13,2314.97,-15.999450957179251,-0.1599945095717925,7.720914671025536,0.07720914671025536,-70.17453556553588,-0.7017453556553588,,2026-03-17T13:46:00+00:00,True
2026-03-17T13:45:00+00:00,45,4h,Bullish,Sideways,False,2302.0,2345.0,1.0,23.313299999999998,1.0,11.659999999999854,True,True,True,240,240,240,0,,2303.0,2356.66,down_then_up,2331.33,2332.29,2356.66,2303.0,4.11782115788073,0.0411782115788073,108.65042700947569,1.086504270094757,-121.51861812784936,-1.2151861812784936,2026-03-17T14:30:00+00:00,2026-03-17T13:46:00+00:00,True
2026-03-17T13:45:00+00:00,45,1d,Bullish,,False,2300.0,2385.0,1.0,,,,False,False,False,1440,1440,788,652,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T14:00:00+00:00,0,15m,Bearish,Sideways,False,2315.0,2333.0,1.0,23.276,1.8800000000001091,1.3600000000001273,True,True,True,15,15,15,0,,2316.88,2334.36,down_then_up,2327.6,2330.86,2334.36,2316.88,14.005842928339618,0.14005842928339618,29.04279085753636,0.2904279085753636,-46.056023371712214,-0.4605602337171221,2026-03-17T14:09:00+00:00,2026-03-17T14:03:00+00:00,True
2026-03-17T14:00:00+00:00,0,4h,Bullish,Sideways,False,2311.23,2345.19,1.0,23.276,8.230000000000018,11.4699999999998,True,True,True,240,240,240,0,,2303.0,2356.66,down_then_up,2327.6,2338.93,2356.66,2303.0,48.67674858223037,0.48676748582230367,124.84963052070697,1.2484963052070697,-105.68826258807285,-1.0568826258807285,2026-03-17T14:09:00+00:00,2026-03-17T14:03:00+00:00,True
2026-03-17T14:00:00+00:00,0,1d,Bullish,,False,2300.49,2385.78,1.0,,,,False,False,False,1440,1440,773,667,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T14:15:00+00:00,15,15m,Sideways,Bearish,False,2324.5,2334.43,1.0,23.3085,2.9200000000000728,2.0900000000001455,True,True,True,15,15,15,0,,2321.58,2336.52,down_only,2330.85,2332.88,2336.52,2321.58,8.709269150739551,0.08709269150739551,24.32588969689231,0.2432588969689231,-39.770899028251925,-0.39770899028251927,,2026-03-17T14:17:00+00:00,True
